'u','urms','irms','p','s','q','pf','phi','ufreq','upeak','ipeak','u1','u2','u3','u4','u5','u6','u7','u8','u9','u10','i1','i2','i3','i4','i5','i6','i7','i8','i9','i10','p1','p2','p3','p4','p5','p6','p7','p8','p9','p10','device','state','Device Id','Device Type','Device State'
229,229.3,0.33,41.49,75.79,63.42,0.55,56.8,49.92,316.35,1.32,229.61,0.49,1.4,0.96,4.65,0.58,2.96,0.75,1.01,0.79,0.18,0.02,0.16,0.02,0.14,0.02,0.1,0.01,0.07,0.01,40.66,0,-0.17,0.01,-0.31,-0.01,-0.02,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
232.61,232.26,0.36,46.8,83.27,68.87,0.56,55.8,49.92,316.14,1.34,229.7,0.48,1.42,0.98,4.79,0.56,3.12,0.76,0.96,0.81,0.2,0.01,0.18,0.02,0.15,0.02,0.11,0.02,0.07,0.02,44.86,0,-0.2,0.01,-0.34,-0.01,0.04,0,-0.07,0.01,'zenith h67m cpu','work',1,1,2
229.09,229.4,0.37,46.22,83.82,69.93,0.55,56.54,49.92,316.11,1.48,229.5,0.66,1.42,0.96,4.75,0.54,2.94,0.75,0.99,0.8,0.2,0.03,0.18,0.03,0.15,0.02,0.11,0.02,0.07,0.01,45.82,-0.01,-0.2,0.02,-0.34,-0.01,0.02,0.01,-0.07,0,'zenith h67m cpu','work',1,1,2
229.07,229.37,0.37,46.42,84.33,-70.41,0.55,-56.61,49.92,315.95,1.68,229.54,0.6,1.53,0.97,4.78,0.48,3.04,0.78,1.01,0.79,0.26,0.01,0.24,0.01,0.19,0.02,0.14,0.02,0.09,0.03,58.95,0,-0.3,0.01,-0.34,0,0.12,-0.01,-0.09,0.02,'zenith h67m cpu','work',1,1,2
229.67,229.97,0.37,46.24,85.62,72.06,0.54,57.31,49.92,317.25,1.36,230.12,0.51,1.51,0.93,4.83,0.58,2.92,0.81,1.15,0.82,0.21,0.01,0.2,0.01,0.16,0.02,0.12,0.02,0.08,0.02,47.98,0,-0.23,0.01,-0.24,0,0.08,-0.01,-0.09,0.01,'zenith h67m cpu','work',1,1,2
229.09,229.39,0.39,49.32,89.23,-74.36,0.55,-56.44,49.92,316.29,1.55,229.73,0.63,1.51,0.99,4.76,0.58,3.05,0.77,1.04,0.82,0.21,0.02,0.19,0.02,0.15,0.02,0.11,0.02,0.08,0.01,46.43,-0.01,-0.22,0.02,-0.32,-0.01,0.03,0.01,-0.07,0.01,'zenith h67m cpu','work',1,1,2
230.23,230.33,0.41,51.96,94.12,-78.48,0.55,-56.5,49.92,316.32,1.67,229.62,0.62,1.45,0.91,4.88,0.57,2.9,0.75,1.09,0.85,0.23,0.03,0.2,0.03,0.17,0.02,0.12,0.02,0.08,0.01,50.92,-0.01,-0.24,0.02,-0.33,-0.01,0.07,0.01,-0.08,0,'zenith h67m cpu','work',1,1,2
229.24,229.54,0.43,54.62,99.45,-83.11,0.55,-56.69,49.92,316.35,1.7,229.78,0.48,1.44,0.97,4.83,0.56,3.04,0.76,1.04,0.8,0.2,0.01,0.19,0.01,0.15,0.01,0.11,0.02,0.08,0.02,45.91,0,-0.21,0.01,-0.35,0,0.02,0,-0.07,0.01,'zenith h67m cpu','work',1,1,2
230.14,230.18,0.45,57.55,103.56,-86.1,0.56,-56.24,49.92,315.67,1.7,229.48,0.56,1.57,0.99,4.82,0.55,3.06,0.74,0.98,0.81,0.28,0.01,0.25,0.01,0.19,0.02,0.14,0.01,0.09,0.01,62.37,0,-0.33,0,-0.39,-0.01,0.13,0,-0.09,0.01,'zenith h67m cpu','work',1,1,2
232.97,232.6,0.46,60.61,107.74,89.07,0.56,55.76,49.92,317.32,1.7,230.08,0.45,1.51,0.91,4.58,0.61,2.89,0.77,1.08,0.85,0.22,0.03,0.2,0.03,0.17,0.02,0.12,0.02,0.08,0.01,48.93,-0.01,-0.24,0.02,-0.27,-0.01,0.05,0.01,-0.08,0,'zenith h67m cpu','work',1,1,2
229.66,229.8,0.49,62.27,111.83,-92.89,0.56,-56.17,49.92,315.98,1.7,229.5,0.56,1.61,0.96,4.79,0.56,2.97,0.76,1.1,0.82,0.3,0.02,0.27,0.02,0.22,0.02,0.16,0.02,0.1,0.01,67.43,0,-0.37,0.01,-0.34,-0.01,0.16,0.01,-0.11,0.01,'zenith h67m cpu','work',1,1,2
227.56,227.51,0.34,41.87,76.48,64,0.55,56.81,49.93,312.94,1.53,226.82,0.77,1.39,0.9,4.28,0.52,2.88,0.63,0.93,0.77,0.19,0.03,0.17,0.03,0.14,0.03,0.1,0.02,0.07,0.01,41.87,0,-0.2,0.02,-0.32,-0.01,-0.02,0.01,-0.05,0,'zenith h67m cpu','work',1,1,2
225.96,226.12,0.34,42.97,76.79,-63.64,0.56,-55.97,49.93,312.07,1.31,226.43,0.95,1.5,1.04,4.19,0.46,2.92,0.71,0.88,0.66,0.18,0,0.17,0.01,0.14,0.01,0.1,0.01,0.06,0.02,41.2,0,-0.21,0,-0.32,0,-0.04,0,-0.05,0.01,'zenith h67m cpu','work',1,1,2
228.97,229.22,0.34,43.65,78.25,-64.95,0.56,-56.09,49.93,315.98,1.24,229.48,0.36,1.42,0.94,4.47,0.56,3.13,0.73,0.91,0.83,0.19,0.03,0.17,0.03,0.14,0.02,0.1,0.02,0.07,0.01,42.1,-0.01,-0.18,0.02,-0.37,-0.01,-0.02,0.01,-0.05,0.01,'zenith h67m cpu','work',1,1,2
228.66,229.03,0.35,44.61,79.33,-65.61,0.56,-55.79,49.93,315.76,1.26,229.42,0.51,1.44,0.99,4.83,0.56,3.07,0.74,0.99,0.79,0.21,0.02,0.19,0.02,0.15,0.02,0.11,0.02,0.07,0.01,46.6,0,-0.2,0.02,-0.4,-0.01,0,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
226.36,226.48,0.35,43.74,78.7,65.43,0.56,56.24,49.93,312.41,1.34,226.61,0.23,1.44,0.88,4.2,0.48,2.91,0.63,0.91,0.74,0.18,0.03,0.17,0.03,0.14,0.02,0.1,0.02,0.07,0.01,40.75,0,-0.2,0.02,-0.33,-0.01,-0.04,0,-0.05,0.01,'zenith h67m cpu','work',1,1,2
232.62,232.26,0.37,48.78,85.49,70.21,0.57,55.21,49.93,315.8,1.49,229.56,0.49,1.48,0.95,4.78,0.54,3.18,0.72,0.97,0.8,0.2,0.01,0.18,0.01,0.15,0.02,0.11,0.02,0.07,0.02,45.45,0,-0.2,0.01,-0.39,-0.01,0.02,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
229.68,229.2,0.4,52.02,90.74,74.35,0.57,55.02,49.93,312.63,1.43,226.66,0.37,1.48,0.9,4.14,0.51,2.83,0.68,0.94,0.73,0.23,0.01,0.21,0.01,0.17,0.02,0.12,0.02,0.08,0.02,51.99,0,-0.28,0.01,-0.33,-0.01,0.02,0,-0.07,0.01,'zenith h67m cpu','work',1,1,2
226.4,226.5,0.33,41.85,74.86,62.07,0.56,56.01,49.94,312.23,1.25,226.77,0.32,1.45,0.89,4.14,0.47,2.98,0.71,0.88,0.73,0.18,0.02,0.16,0.02,0.13,0.02,0.1,0.02,0.06,0.01,40.33,0,-0.21,0.02,-0.35,-0.01,-0.05,0,-0.05,0.01,'zenith h67m cpu','work',1,1,2
226.43,226.51,0.34,42.74,76.21,63.1,0.56,55.89,49.94,312.26,1.18,226.72,0.27,1.47,0.93,4.09,0.47,2.93,0.72,0.89,0.71,0.18,0.02,0.17,0.02,0.14,0.02,0.1,0.02,0.06,0.02,41.19,0,-0.21,0.01,-0.35,0,-0.04,0,-0.05,0.01,'zenith h67m cpu','work',1,1,2
228.67,229.01,0.34,43.49,77.49,-64.14,0.56,-55.86,49.94,315.73,1.25,229.36,0.53,1.46,0.97,4.74,0.55,3.12,0.72,0.97,0.79,0.21,0.01,0.19,0.01,0.15,0.02,0.11,0.02,0.07,0.02,46.94,0,-0.2,0.01,-0.4,-0.01,0,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
227.34,227.25,0.34,42.82,77.99,-65.19,0.55,-56.7,49.94,312.48,1.34,226.64,0.35,1.48,0.85,4.16,0.46,2.95,0.67,0.93,0.76,0.2,0.02,0.18,0.02,0.15,0.02,0.11,0.02,0.07,0.02,44.22,0,-0.23,0.01,-0.33,-0.01,-0.01,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
229.63,229.13,0.35,45.91,79.94,-65.45,0.57,-54.95,49.94,312.23,1.18,226.56,0.17,1.47,0.94,4.14,0.48,2.97,0.7,0.87,0.69,0.19,0.02,0.17,0.02,0.14,0.02,0.1,0.02,0.06,0.02,41.64,0,-0.21,0.01,-0.37,-0.01,-0.06,0,-0.05,0.01,'zenith h67m cpu','work',1,1,2
229.79,229.32,0.36,46.56,81.62,67.04,0.57,55.22,49.94,312.04,1.38,226.66,0.6,1.43,1.01,4.15,0.46,2.92,0.76,0.91,0.69,0.21,0.02,0.19,0.02,0.15,0.02,0.11,0.02,0.07,0.01,45.97,-0.01,-0.23,0.02,-0.34,-0.01,0,0.01,-0.06,0,'zenith h67m cpu','work',1,1,2
229.76,229.3,0.36,46.26,81.89,67.57,0.56,55.6,49.94,312.72,1.51,226.89,0.21,1.55,0.86,4.24,0.5,2.79,0.7,0.93,0.74,0.18,0.02,0.17,0.02,0.14,0.02,0.1,0.02,0.07,0.02,41.38,0,-0.23,0.01,-0.33,-0.01,-0.02,0,-0.05,0.01,'zenith h67m cpu','work',1,1,2
226.26,226.45,0.37,46.04,83.07,-69.14,0.55,-56.34,49.94,312.14,1.7,226.78,0.71,1.48,1.03,4.35,0.48,2.91,0.75,0.92,0.67,0.19,0,0.17,0,0.14,0.01,0.11,0.01,0.07,0.02,43.01,0,-0.22,0,-0.33,0,-0.01,0,-0.05,0.01,'zenith h67m cpu','work',1,1,2
226.54,226.67,0.37,46.95,84.06,-69.73,0.56,-56.05,49.94,312.38,1.54,226.94,0.51,1.47,0.91,4.1,0.49,2.94,0.72,0.85,0.69,0.23,0.03,0.2,0.03,0.17,0.03,0.12,0.02,0.08,0.01,50.62,-0.01,-0.27,0.02,-0.39,-0.01,0.02,0.01,-0.06,0,'zenith h67m cpu','work',1,1,2
226.91,226.85,0.41,52.19,92.63,-76.52,0.56,-55.7,49.94,312.32,1.6,226.62,0.21,1.57,0.84,3.97,0.49,2.92,0.65,0.9,0.75,0.22,0.03,0.2,0.03,0.16,0.03,0.11,0.02,0.07,0.01,49.28,0,-0.27,0.02,-0.34,-0.01,0.01,0.01,-0.06,0,'zenith h67m cpu','work',1,1,2
226.45,226.57,0.35,43.68,79.1,-65.95,0.55,-56.48,49.95,312.66,1.33,226.77,0.59,1.41,0.93,4.25,0.54,2.9,0.62,0.97,0.78,0.19,0.03,0.17,0.02,0.14,0.02,0.1,0.02,0.07,0.01,41.91,0,-0.21,0.02,-0.32,-0.01,-0.01,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
229.49,229.05,0.42,55.64,95.99,-78.23,0.58,-54.58,49.95,312.23,1.5,226.65,0.81,1.54,0.98,4.35,0.49,2.87,0.65,0.92,0.75,0.23,0.01,0.2,0.01,0.16,0.01,0.12,0.01,0.07,0.02,50.79,0,-0.28,0,-0.38,-0.01,0.03,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
229.95,229.56,0.32,41.96,74.7,61.79,0.56,55.82,49.96,313.84,1.12,227.12,0.81,1.4,1,4.2,0.52,2.62,0.66,1.02,0.72,0.17,0.02,0.16,0.02,0.13,0.01,0.1,0.01,0.07,0.01,39.03,0,-0.19,0.01,-0.29,-0.01,-0.02,0,-0.06,0,'zenith h67m cpu','trans',1,1,2
226.9,227.64,0.35,41.58,78.67,66.78,0.53,58.09,49.96,317.25,1.41,229.93,0.46,1.52,0.92,4.71,0.55,2.67,0.77,1.15,0.86,0.2,0.03,0.18,0.03,0.15,0.02,0.11,0.02,0.08,0.01,45.07,-0.01,-0.22,0.02,-0.29,-0.01,0.04,0.01,-0.08,0,'zenith h67m cpu','trans',1,1,2
228.82,229.12,0.35,43.91,80.21,67.13,0.55,56.81,49.96,316.01,1.49,229.3,0.61,1.44,0.98,4.67,0.54,2.86,0.74,1.09,0.83,0.18,0.01,0.16,0.01,0.13,0.01,0.1,0.01,0.07,0.01,39.95,0,-0.18,0.01,-0.32,-0.01,0.02,0,-0.06,0.01,'zenith h67m cpu','trans',1,1,2
232.1,231.79,0.4,53.09,93.47,76.93,0.57,55.39,49.96,316.26,1.43,229.21,0.55,1.45,0.98,4.65,0.56,2.68,0.76,1.13,0.85,0.22,0.02,0.2,0.02,0.16,0.02,0.12,0.02,0.08,0.01,49.33,0,-0.24,0.02,-0.36,-0.01,0.06,0,-0.08,0.01,'zenith h67m cpu','trans',1,1,2
229.43,229.52,0.43,55.1,98.02,-81.07,0.56,-55.8,49.96,315.76,1.6,228.96,0.39,1.49,0.9,4.57,0.56,2.72,0.78,1.14,0.84,0.25,0.02,0.23,0.02,0.18,0.02,0.13,0.02,0.08,0.02,56.09,0,-0.29,0.01,-0.39,-0.01,0.08,0,-0.09,0.01,'zenith h67m cpu','trans',1,1,2
229.68,229.27,0.45,60.09,103.89,84.74,0.58,54.66,49.96,313.38,1.67,226.88,0.52,1.58,0.87,4.17,0.5,2.61,0.67,1.06,0.8,0.24,0.02,0.22,0.02,0.18,0.02,0.13,0.01,0.08,0.01,53.45,0,-0.29,0.01,-0.34,-0.01,0.04,0,-0.08,0.01,'zenith h67m cpu','trans',1,1,2
228.64,228.89,0.55,73.34,126.14,-102.62,0.58,-54.45,49.96,316.07,1.7,229.11,0.54,1.61,1.04,4.52,0.57,2.67,0.76,1.12,0.81,0.33,0.01,0.29,0.01,0.23,0.02,0.16,0.02,0.1,0.02,73.45,0,-0.41,0.01,-0.41,-0.01,0.14,0,-0.11,0.01,'zenith h67m cpu','trans',1,1,2
226.95,227.13,0.31,38.07,69.46,58.1,0.55,56.77,49.97,313.53,1.05,227.18,0.79,1.36,1.01,4.17,0.47,2.64,0.71,1.03,0.74,0.17,0.01,0.16,0.01,0.13,0.01,0.1,0.01,0.07,0.01,38.12,-0.01,-0.18,0.01,-0.29,-0.01,-0.02,0,-0.06,0,'zenith h67m cpu','trans',1,1,2
226.49,226.64,0.32,40.02,72.93,60.97,0.55,56.72,49.97,313.13,1.17,226.8,0.79,1.5,0.95,4.15,0.55,2.61,0.73,1.04,0.79,0.18,0.01,0.17,0.01,0.14,0.01,0.1,0.01,0.07,0.01,40.55,0,-0.21,0.01,-0.31,-0.01,0,0,-0.06,0.01,'zenith h67m cpu','trans',1,1,2
228.89,229.16,0.33,40.41,74.99,63.17,0.54,57.39,49.97,316.54,1.56,229.28,0.41,1.4,0.97,4.47,0.55,2.84,0.76,1.12,0.82,0.18,0.01,0.16,0.01,0.14,0.01,0.1,0.02,0.07,0.02,40.05,0,-0.17,0.01,-0.3,0,0.03,0,-0.07,0.01,'zenith h67m cpu','trans',1,1,2
228.67,228.91,0.33,41.51,75.55,63.12,0.55,56.67,49.97,316.17,1.37,228.95,0.33,1.56,0.96,4.31,0.53,2.58,0.79,1.12,0.77,0.26,0.03,0.24,0.03,0.19,0.03,0.14,0.03,0.09,0.03,59.35,0,-0.32,-0.01,-0.33,0.01,0.07,-0.02,-0.09,0.02,'zenith h67m cpu','trans',1,1,2
229.87,229.49,0.33,42.64,76.51,63.53,0.56,56.13,49.97,314.31,1.14,227.23,0.52,1.32,0.89,4.04,0.5,2.64,0.62,0.98,0.76,0.17,0.03,0.16,0.02,0.13,0.02,0.1,0.02,0.07,0.01,38.62,0,-0.17,0.02,-0.27,-0.01,-0.03,0,-0.05,0.01,'zenith h67m cpu','trans',1,1,2
229.75,229.85,0.33,41.82,76.52,64.08,0.55,56.87,49.97,316.01,1.38,229.2,0.56,1.5,1.04,4.68,0.53,2.73,0.77,1.14,0.79,0.17,0.02,0.16,0.02,0.13,0.02,0.1,0.02,0.07,0.01,39.52,-0.01,-0.18,0.02,-0.34,-0.01,-0.01,0,-0.06,0.01,'zenith h67m cpu','trans',1,1,2
229.48,229.83,0.34,42.47,78.04,65.47,0.54,57.03,49.97,317.13,1.32,229.88,0.61,1.49,1,4.8,0.53,2.69,0.79,1.13,0.85,0.21,0.01,0.19,0.01,0.16,0.02,0.12,0.02,0.08,0.02,48.01,0,-0.23,0.01,-0.3,0,0.07,0,-0.08,0.01,'zenith h67m cpu','trans',1,1,2
227.6,227.6,0.34,42.23,77.61,65.11,0.54,57.03,49.97,314.09,1.31,227.14,0.65,1.4,0.91,3.98,0.52,2.61,0.64,1,0.77,0.19,0.02,0.18,0.02,0.15,0.02,0.11,0.01,0.07,0.01,43.24,0,-0.21,0.02,-0.3,-0.01,-0.01,0.01,-0.06,0,'zenith h67m cpu','trans',1,1,2
226.55,226.75,0.35,43.17,78.45,65.5,0.55,56.61,49.97,312.94,1.37,226.9,0.59,1.54,0.99,4.21,0.52,2.57,0.78,1.02,0.76,0.21,0.02,0.19,0.02,0.16,0.02,0.12,0.02,0.07,0.02,47.65,-0.01,-0.26,0.02,-0.3,-0.01,0.03,0.01,-0.07,0.01,'zenith h67m cpu','trans',1,1,2
228.57,228.91,0.35,43.2,79.28,66.48,0.54,56.99,49.97,315.83,1.27,229.11,0.58,1.5,0.96,4.84,0.51,2.69,0.75,1.13,0.85,0.19,0.02,0.17,0.02,0.15,0.02,0.11,0.01,0.07,0.01,42.39,-0.01,-0.21,0.02,-0.3,-0.01,0.03,0,-0.07,0.01,'zenith h67m cpu','trans',1,1,2
231.95,231.69,0.35,45.34,81.1,67.24,0.56,56.01,49.97,316.23,1.4,229.37,0.55,1.46,0.94,4.69,0.55,2.73,0.72,1.15,0.83,0.18,0.02,0.17,0.02,0.14,0.02,0.11,0.01,0.07,0.01,40.77,-0.01,-0.19,0.02,-0.31,-0.01,0.03,0,-0.07,0.01,'zenith h67m cpu','trans',1,1,2
226.74,226.85,0.35,44.24,79.75,-66.35,0.55,-56.31,49.97,313.53,1.21,227.02,0.83,1.45,0.95,4.01,0.52,2.7,0.65,1,0.75,0.19,0.03,0.17,0.02,0.14,0.02,0.1,0.02,0.07,0.01,42.35,0,-0.22,0.02,-0.32,-0.01,-0.01,0.01,-0.06,0,'zenith h67m cpu','trans',1,1,2
231.7,231.5,0.36,46.19,82.37,68.2,0.56,55.89,49.97,315.92,1.56,229.2,0.51,1.45,0.97,4.85,0.53,2.68,0.74,1.09,0.81,0.17,0.02,0.16,0.02,0.13,0.02,0.1,0.01,0.07,0.01,39.34,-0.01,-0.18,0.02,-0.31,-0.01,0.01,0,-0.06,0.01,'zenith h67m cpu','trans',1,1,2
231.99,231.64,0.37,48.03,85.4,70.62,0.56,55.78,49.97,316.17,1.42,229.24,0.48,1.48,0.98,4.58,0.54,2.77,0.73,1.11,0.85,0.19,0.02,0.17,0.02,0.14,0.02,0.11,0.01,0.07,0.01,42.41,-0.01,-0.21,0.02,-0.3,-0.01,0.03,0,-0.07,0.01,'zenith h67m cpu','trans',1,1,2
230.01,229.65,0.37,47.79,85.46,70.85,0.56,56,49.97,314.18,1.63,227.37,0.69,1.43,0.94,4.19,0.5,2.57,0.66,1.06,0.83,0.19,0.02,0.18,0.02,0.15,0.02,0.11,0.01,0.07,0.01,43.2,0,-0.22,0.02,-0.28,-0.01,0.01,0,-0.07,0.01,'zenith h67m cpu','trans',1,1,2
230.32,230.43,0.42,53.51,97.22,81.17,0.55,56.61,49.97,317.35,1.65,230,0.49,1.58,0.98,4.55,0.56,2.69,0.77,1.17,0.82,0.24,0.02,0.22,0.02,0.18,0.02,0.13,0.01,0.09,0.01,53.81,-0.01,-0.29,0.02,-0.31,-0.01,0.07,0,-0.1,0.01,'zenith h67m cpu','trans',1,1,2
231.91,231.67,0.44,57.67,102.07,84.22,0.57,55.6,49.97,315.98,1.63,229.22,0.56,1.53,0.97,4.96,0.51,2.65,0.79,1.16,0.82,0.22,0.02,0.2,0.02,0.17,0.02,0.13,0.02,0.08,0.01,49.44,-0.01,-0.25,0.02,-0.31,-0.01,0.08,0,-0.09,0.01,'zenith h67m cpu','trans',1,1,2
229.52,229.81,0.46,58.73,106.33,-88.63,0.55,-56.47,49.97,317.5,1.7,229.95,0.58,1.58,1,4.54,0.57,2.62,0.76,1.21,0.81,0.28,0.02,0.26,0.02,0.21,0.02,0.15,0.01,0.1,0.01,63.57,-0.01,-0.34,0.02,-0.28,-0.01,0.14,0,-0.12,0.01,'zenith h67m cpu','trans',1,1,2
227.62,227.59,0.48,61.67,110.17,91.3,0.56,55.96,49.97,313.78,1.7,227.12,0.48,1.6,0.95,4.1,0.48,2.57,0.66,0.99,0.79,0.28,0,0.25,0.01,0.2,0.01,0.15,0.02,0.09,0.02,61.56,0,-0.36,0.01,-0.34,0,0.08,0,-0.09,0.01,'zenith h67m cpu','trans',1,1,2
232.61,232.3,0.35,45.67,80.72,66.56,0.57,55.54,49.98,317.04,1.4,229.91,0.43,1.41,0.97,4.44,0.55,2.79,0.77,1.04,0.84,0.19,0.02,0.17,0.02,0.14,0.02,0.1,0.01,0.07,0.01,41.99,-0.01,-0.19,0.02,-0.32,-0.01,0,0,-0.06,0.01,'zenith h67m cpu','trans',1,1,2
232.63,232.32,0.42,55.72,98.36,81.06,0.57,55.5,49.98,317.28,1.57,229.92,0.42,1.49,0.95,4.51,0.54,2.76,0.81,1.15,0.8,0.22,0.01,0.2,0.01,0.17,0.01,0.12,0.02,0.08,0.02,49.43,0,-0.24,0,-0.32,0,0.05,-0.01,-0.09,0.02,'zenith h67m cpu','trans',1,1,2
228.62,228.94,0.05,2.93,10.75,10.34,0.27,74.16,49.99,315.3,0.33,228.81,0.52,1.28,0.99,4.78,0.55,3.06,0.81,0.89,0.84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.95,0,0,0.01,-0.05,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
232.71,232.4,0.32,42.19,75.34,62.42,0.56,55.94,49.99,317.04,1.13,229.95,0.42,1.41,1,4.54,0.57,2.83,0.76,1.06,0.82,0.18,0.02,0.16,0.02,0.13,0.02,0.1,0.02,0.07,0.01,39.82,-0.01,-0.18,0.02,-0.31,-0.01,0,0,-0.06,0.01,'zenith h67m cpu','trans',1,1,2
232.62,232.32,0.33,42.42,76.2,-63.3,0.56,-56.17,49.99,317.63,1.18,230.07,0.43,1.44,0.93,4.49,0.58,2.77,0.74,1.09,0.85,0.17,0.02,0.16,0.02,0.13,0.02,0.1,0.01,0.07,0.01,39.3,0,-0.17,0.02,-0.29,-0.01,0,0,-0.06,0.01,'zenith h67m cpu','trans',1,1,2
228.51,228.87,0.05,2.96,10.64,10.22,0.28,73.86,50,315.21,0.32,228.77,0.53,1.24,1.03,4.85,0.57,3.1,0.75,0.87,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.01,0,0,0.01,-0.06,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
228.75,229.08,0.05,2.98,10.78,10.36,0.28,73.97,50,315.45,0.34,228.93,0.51,1.24,0.99,4.83,0.53,3.08,0.74,0.86,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.21,-0.01,0,0.01,-0.06,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
228.7,229.06,0.05,2.99,10.84,10.42,0.28,73.99,50,315.39,0.33,228.89,0.48,1.27,1.01,4.83,0.52,3.1,0.81,0.87,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.06,0,0,0.01,-0.06,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
228.79,229.09,0.05,3,10.92,10.5,0.27,74.06,50,315.55,0.33,228.91,0.51,1.3,0.98,4.83,0.54,3.08,0.77,0.88,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.13,0,-0.01,0.01,-0.06,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
230.08,230.19,0.05,3.63,11.98,11.42,0.3,72.37,50,315.33,0.33,228.87,0.48,1.25,1,4.89,0.55,3.09,0.78,0.87,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.09,-0.01,0,0.01,-0.06,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
229.96,230.05,0.05,3.67,12.13,11.56,0.3,72.37,50,315.33,0.33,228.78,0.51,1.28,0.94,4.71,0.57,3.17,0.77,0.83,0.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.04,0,0,0.01,-0.06,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
226.84,226.9,0.04,3.25,10.2,9.67,0.32,71.43,50.01,311.39,0.3,226.12,0.62,1.28,1.02,4.35,0.5,2.99,0.83,0.81,0.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.97,-0.01,-0.01,0.01,-0.05,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
226.2,226.37,0.05,2.8,10.33,9.95,0.27,74.28,50.01,312.23,0.32,226.22,0.25,1.33,0.89,4.31,0.5,2.99,0.69,0.77,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.9,0,-0.01,0.01,-0.05,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
227.95,228.44,0.05,2.74,10.42,10.06,0.26,74.75,50.01,315.45,0.33,228.91,0.63,1.19,1.01,4.89,0.53,3.08,0.72,0.89,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.19,-0.01,0,0.01,-0.06,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
226.84,226.92,0.05,3.22,10.7,10.2,0.3,72.47,50.01,312.01,0.31,226.24,0.79,1.22,0.98,4.37,0.46,2.94,0.73,0.88,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.08,-0.01,-0.01,0.01,-0.05,0,-0.03,0,0.01,0.01,'zenith h67m cpu','sleep',1,1,1
226.32,226.46,0.05,2.97,10.72,10.3,0.28,73.9,50.01,312.57,0.32,226.32,0.35,1.24,0.94,4.19,0.5,2.99,0.69,0.82,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.06,0,-0.01,0.01,-0.05,0,-0.03,0,0,0.01,'zenith h67m cpu','sleep',1,1,1
226.06,226.23,0.05,2.93,10.72,10.31,0.27,74.14,50.01,312.2,0.32,226.12,0.44,1.27,0.92,4.19,0.47,2.97,0.64,0.74,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.09,0,-0.01,0.01,-0.05,0,-0.03,0,0,0.01,'zenith h67m cpu','sleep',1,1,1
226.86,226.91,0.05,3.2,10.78,10.3,0.3,72.72,50.01,312.32,0.31,226.31,0.41,1.22,0.96,4.2,0.47,2.91,0.77,0.86,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.96,-0.01,-0.01,0.01,-0.05,0,-0.03,0,0,0.01,'zenith h67m cpu','sleep',1,1,1
227.15,227.16,0.05,3.24,10.82,10.32,0.3,72.55,50.01,311.92,0.31,226.24,0.78,1.33,1,4.32,0.45,2.97,0.73,0.8,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.03,-0.01,-0.01,0.01,-0.05,0,-0.03,0,0,0.01,'zenith h67m cpu','sleep',1,1,1
